source,target,edge_type,distance_km,overlap_change_years,corr_change,overlap_level_years,corr_level
1_0108,1_0112,spatial,1.2888407540973303,8,-0.3229378058177603,9,0.8893184605357679
1_0106,1_0108,spatial,2.3905151642500613,8,-0.13496642685585847,9,0.8828561436881956
1_0104,1_0108,spatial,2.4816770055291544,8,-0.2026287101093622,9,0.6486569646929168
1_0109,1_0163,spatial,0.2315216099396671,7,0.49209305912305595,8,0.9720728538628296
1_0109,1_0110,spatial,0.5611139319820541,8,0.6893921388172684,9,0.9803603784481706
1_0109,1_0111,spatial,0.8182061155463813,8,0.7490329208745036,9,0.9886743458350026
1_0109,1_0112,spatial,1.0998148705110231,8,0.4294438424494884,9,0.9414249019801649
1_0106,1_0109,spatial,2.2014885397444393,8,0.4925500577074789,9,0.945181864137328
1_0104,1_0109,spatial,2.292650644229007,8,-0.27893297877762774,9,0.711594865705294
1_0110,1_0111,spatial,0.2570955182562223,8,0.5251500662340634,9,0.9883933707439595
1_0110,1_0163,spatial,0.3296029650716166,7,-0.26978153854629483,8,0.9781410478915132
1_0110,1_0112,spatial,0.5387133605312174,8,0.7944662249259438,9,0.9789003488296376
1_0111,1_0112,spatial,0.2816206137211224,8,0.3787567114548331,9,0.9551905058528302
1_0111,1_0163,spatial,0.5866984127776392,7,0.6331628918827253,8,0.9907833989245806
1_0112,1_0163,spatial,0.8683143948237703,7,-0.18815191800756423,8,0.9410104015466594
1_0103,1_0161,spatial,2.2667159497216307,6,-0.014650364679792008,7,0.953759038602385
1_0161,1_0162,spatial,2.4734696029217775,6,-0.2751003220376716,7,0.7757662496382997
1_0104,1_0161,spatial,2.907294475567621,6,-0.4824007351563638,7,0.7352607503407473
1_0106,1_0161,spatial,2.998035707462526,6,-0.15794600761078767,7,0.8693675229296878
1_0112,1_0161,spatial,4.096557636413041,6,-0.18915554255166822,7,0.872175075690801
1_0112,1_0162,spatial,1.6289053829030158,7,0.5566669302744319,8,0.9749738853781383
1_0111,1_0162,spatial,1.9105167422292049,7,0.6429194433426472,8,0.9264013658893768
1_0110,1_0162,spatial,2.167612132296542,7,0.3428059256811981,8,0.9441773366230176
1_0106,1_0163,spatial,1.9699828903779484,7,0.3632039953706779,8,0.9497827617857899
1_0104,1_0163,spatial,2.0611455437647046,7,-0.4862666500822289,8,0.7912858598893625
1_3998,28_3091,spatial,44.30252980032033,2,,2,
1_3998,1_6012,spatial,63.35300118586405,4,-0.46988839848802305,5,0.564516942643065
1_4073,47_1029,spatial,42.01241330569166,1,,2,
1_0607,1_4073,spatial,65.28951917380445,2,,2,
1_0608,1_4073,spatial,65.62973738708547,2,,2,
1_0663,1_4073,spatial,65.81901500079154,2,,2,
1_0662,1_4073,spatial,66.0619627289179,2,,2,
1_4125,1_A310,spatial,0.4854439827917567,4,0.35427921294423376,5,0.7937552983425777
1_4125,1_A320,spatial,1.301574169584996,4,0.8782220724708627,5,0.932331502756586
1_4125,1_A330,spatial,1.3549511131362233,4,0.9092750982804052,5,0.8879075325638642
1_4125,1_A340,spatial,1.4253441097902737,3,0.9556478558253917,4,0.9119213638941351
1_4125,1_A350,spatial,1.4743673632627343,4,0.6626655455476679,5,0.8172056169909364
1_4125,1_4129,spatial,70.73971267466916,0,,1,
1_4129,1_A310,spatial,70.79198479457362,0,,1,
1_4129,1_A320,spatial,70.8813695658772,0,,1,
1_4129,1_A330,spatial,70.89272526627343,0,,1,
1_4129,1_A350,spatial,70.90188652349205,0,,1,
1_4129,1_A340,spatial,70.90247299310985,0,,1,
1_4155,1_C310,spatial,0.3055647156536469,5,0.9075849804092512,6,-0.4954740707127712
1_4155,1_C320,spatial,0.5467118728353384,5,0.8927563949001404,6,-0.037150878493328196
1_4155,1_C340,spatial,0.7541893608440172,5,0.6870045698670305,6,-0.5400627273569704
1_4155,1_C330,spatial,1.1755882553871309,5,-0.21864677801265162,6,-0.4473657866207494
1_4155,1_C350,spatial,1.4079987437340546,3,0.08595146993782489,4,0.3696106354772864
1_0564,1_4155,spatial,3.030072426299674,3,-0.9845035903571963,4,-0.4081442030843991
1_0509,1_4155,spatial,3.3750001913011367,9,-0.45850256794856814,10,-0.40513152630376126
1_0508,1_4155,spatial,3.75422938324584,9,-0.24978710226808806,10,-0.1873400441204349
1_0502,1_0503,spatial,0.2661960162589314,15,0.8581864616644757,16,0.4645645986784858
1_0502,1_0505,spatial,0.2710569730855262,15,0.949426910271638,16,0.9643903954322653
1_0502,1_0508,spatial,0.4316312353998287,15,0.893563215584524,16,0.7619642270783885
1_0502,1_0504,spatial,0.633200174957527,15,0.4339534981397929,16,0.4846753093634304
1_0502,1_0509,spatial,0.8109543801530777,15,0.8557487581617241,16,0.8205931941615341
1_0502,1_0507,spatial,0.8851258955831953,15,0.8380270351241796,16,0.529753598277771
1_0502,1_0564,spatial,1.156065767556076,3,0.9965736293618528,4,0.9687467723018757
1_0502,1_0506,spatial,1.18459014659756,14,0.5471520383098779,15,0.45619771343289156
1_0503,1_0508,spatial,0.1654566386186333,15,0.9776349860979762,16,0.8653809803214414
1_0503,1_0505,spatial,0.5371995989619585,15,0.9368703525248057,16,0.6384222859678093
1_0503,1_0509,spatial,0.5447617903231615,15,0.9572208198420763,16,0.7060328583758647
1_0503,1_0564,spatial,0.8898739215382822,3,0.9296647652864107,4,0.6013267014540197
1_0503,1_0504,spatial,0.899386004800038,15,0.5867595585622896,16,0.41926696109349926
1_0503,1_0507,spatial,1.1513161823517777,15,0.9738877056989168,16,0.9027446125229509
1_0503,1_0506,spatial,1.450782731233442,14,0.6492965278143581,15,0.7335521847624411
1_0504,1_0507,spatial,0.2519353576702668,15,0.7065802443438829,16,0.7622631227731739
1_0504,1_0505,spatial,0.3622180293573965,15,0.5056746175780088,16,0.6081399650795251
1_0504,1_0506,spatial,0.5514056884389733,14,0.7318000414900998,15,0.632244452624999
1_0504,1_0563,spatial,0.8765897927384718,13,0.5064747977493013,14,0.37308756326962417
1_0504,1_0508,spatial,1.0648305612023314,15,0.5871872597358022,16,0.7219921405692442
1_0504,1_0509,spatial,1.4441475708397988,15,0.5501394289514068,16,0.814753445278968
1_0505,1_0507,spatial,0.614152737473783,15,0.9056261693842321,16,0.7110013026436831
1_0505,1_0508,spatial,0.7026537559260252,15,0.9508057568517192,16,0.8901573728003631
1_0505,1_0506,spatial,0.9136227528907652,14,0.5876048919747493,15,0.5947992292506583
1_0505,1_0509,spatial,1.081952656664714,15,0.879718588784441,16,0.9225850044687869
1_0505,1_0563,spatial,1.238785666499847,13,0.5256846247390571,14,0.7104161164912612
1_0506,1_0507,spatial,0.2994703308158528,14,0.6718610404314921,15,0.7990583687084152
1_0506,1_0563,spatial,0.3252610751187579,13,0.7833603330101712,14,0.8295869992842008
1_0506,1_0508,spatial,1.6162205920589914,14,0.6239975150216521,15,0.7505078649855927
1_0506,1_0509,spatial,1.9955440131389277,14,0.6516531821988102,15,0.7025382902964942
1_0507,1_0563,spatial,0.624672795986769,13,0.5969122392215345,14,0.584590343528593
1_0507,1_0508,spatial,1.3167571110009342,15,0.9655420122735164,16,0.943635919184028
1_0507,1_0509,spatial,1.6960779372358503,15,0.9291139828488361,16,0.8637715122165855
1_0508,1_0509,spatial,0.3793294457218452,15,0.9530053149258533,16,0.9468564036850551
1_0508,1_0564,spatial,0.7244375151726562,3,0.9625148951177706,4,0.7961248512937432
1_0509,1_0564,spatial,0.3451121564245993,3,0.9680843214892823,4,0.769758864629433
1_0502,1_0563,spatial,1.509789963576146,13,0.5790615621718648,14,0.6513241233293101
1_0503,1_0563,spatial,1.7759738839958552,13,0.6310894848642403,14,0.6158309691207002
